Format Version,1.23,Take Name,Take 2026-01-12 01.56.14 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-01-12 01.56.15.167 ,Total Frames in Take,360,Total Exported Frames,360,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1000,Unlabeled 1000,Unlabeled 1000,Unlabeled 1001,Unlabeled 1001,Unlabeled 1001
,ID,"C3510","C3510","C3510","C3520","C3520","C3520"
,,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
94,0.783333,0.821395,0.255563,1.865161,0.316417,-0.137525,1.548652
95,0.791667,0.824813,0.260872,1.865976,0.316439,-0.137506,1.548755
96,0.800000,0.828102,0.266112,1.866971,0.316425,-0.137511,1.548676
97,0.808333,0.831249,0.271446,1.868147,0.316416,-0.137490,1.548558
98,0.816667,0.834112,0.277038,1.869920,0.316409,-0.137509,1.548624
99,0.825000,0.835945,0.282657,1.870641,0.316424,-0.137513,1.548665
100,0.833333,0.837544,0.288542,1.872806,0.316419,-0.137524,1.548658
101,0.841667,0.838280,0.294237,1.874858,0.316410,-0.137492,1.548524
102,0.850000,0.838652,0.299978,1.878030,0.316411,-0.137489,1.548563
103,0.858333,0.837722,0.304988,1.880066,0.316419,-0.137520,1.548650
104,0.866667,0.836210,0.309711,1.882659,0.316422,-0.137533,1.548642
105,0.875000,0.833722,0.313836,1.884917,0.316423,-0.137512,1.548639
106,0.883333,0.830755,0.317648,1.887893,0.316407,-0.137511,1.548593
107,0.891667,0.826901,0.320942,1.890302,0.316411,-0.137494,1.548569
108,0.900000,0.822370,0.323754,1.892811,0.316409,-0.137506,1.548631
109,0.908333,0.817415,0.326142,1.895425,0.316418,-0.137516,1.548669
110,0.916667,0.811812,0.327989,1.897533,0.316404,-0.137501,1.548530
111,0.925000,0.806107,0.329450,1.900367,0.316399,-0.137495,1.548548
112,0.933333,0.800051,0.330431,1.903305,0.316385,-0.137509,1.548532
113,0.941667,0.793689,0.330990,1.906302,0.316427,-0.137549,1.548687
114,0.950000,0.786860,0.330922,1.908592,0.316416,-0.137513,1.548645
115,0.958333,0.780168,0.330498,1.911651,0.316412,-0.137517,1.548643
116,0.966667,0.773123,0.329528,1.914598,0.316411,-0.137520,1.548632
117,0.975000,0.765976,0.328060,1.917236,0.316412,-0.137515,1.548645
118,0.983333,0.758458,0.326003,1.919454,0.316417,-0.137513,1.548664
119,0.991667,0.751430,0.323565,1.922410,0.316389,-0.137515,1.548603
120,1.000000,0.743902,0.320398,1.923982,0.316407,-0.137518,1.548666
121,1.008333,0.736939,0.316925,1.926309,0.316401,-0.137505,1.548648
122,1.016667,0.730428,0.313055,1.928950,0.316383,-0.137508,1.548605
123,1.025000,0.723937,0.308607,1.930397,0.316361,-0.137490,1.548449
124,1.033333,0.717956,0.303548,1.931268,0.316396,-0.137508,1.548644
125,1.041667,0.712536,0.298136,1.932248,0.316403,-0.137519,1.548678
126,1.050000,0.707773,0.292223,1.932599,0.316398,-0.137514,1.548675
127,1.058333,0.703558,0.285775,1.932630,0.316376,-0.137509,1.548566
128,1.066667,0.700054,0.279037,1.932261,0.316383,-0.137514,1.548596
129,1.075000,0.697475,0.272174,1.932289,0.316413,-0.137514,1.548689
130,1.083333,0.695546,0.265222,1.932128,0.316393,-0.137489,1.548511
131,1.091667,0.693976,0.258280,1.931114,0.316404,-0.137512,1.548651
132,1.100000,0.692894,0.251636,1.930240,0.316397,-0.137517,1.548627
133,1.108333,0.692222,0.245349,1.929315,0.316412,-0.137508,1.548618
