Time(s),Error
1.226,1.32703
1.227,1.32703
1.228,1.18392
1.229,1.01131
1.23,0.844662
1.231,0.662632
1.232,0.662632
1.233,0.452366
1.234,0.26469
1.235,0.0352745
1.236,-0.177822
1.237,-0.177822
1.238,-0.496677
1.239,-0.719501
1.24,-0.913456
1.241,-1.0914
1.242,-1.0914
1.243,-1.25271
1.244,-1.40179
1.245,-1.53202
1.246,-1.65756
1.247,-1.65756
1.248,-1.78122
1.249,-1.8945
1.25,-2.00309
1.251,-2.08313
1.252,-2.08313
1.253,-2.16315
1.254,-2.19297
1.255,-2.2027
1.256,-2.2005
1.257,-2.2005
1.258,-2.1754
1.259,-2.14621
1.26,-2.14621
1.261,-2.10666
1.262,-2.04704
1.263,-1.9758
1.264,-1.9758
1.265,-1.8308
1.266,-1.71939
1.267,-1.59793
1.268,-1.46392
1.269,-1.46392
1.27,-1.30481
1.271,-1.14946
1.272,-0.977161
1.273,-0.784466
1.274,-0.784466
1.275,-0.592403
1.276,-0.372402
1.277,-0.158054
1.278,0.0487709
1.279,0.259983
1.28,0.259983
1.281,0.482174
1.282,0.678326
1.283,0.871021
1.284,0.871021
1.285,1.10326
1.286,1.2288
1.287,1.3424
1.288,1.3424
1.289,1.4557
1.29,1.60351
1.291,1.69579
1.292,1.69579
1.293,1.77864
1.294,1.84988
1.295,1.89633
1.296,1.89633
1.297,1.92708
1.298,1.92457
1.299,1.90448
1.3,1.90448
1.301,1.8731
1.302,1.83325
1.303,1.77267
1.304,1.70928
1.305,1.63459
1.306,1.54546
1.307,1.54546
1.308,1.38916
1.309,1.26269
1.31,1.26269
1.311,1.12711
1.312,0.962345
1.313,0.795071
1.314,0.61211
1.315,0.42004
1.316,0.42004
1.317,0.21542
1.318,-0.0133705
1.319,-0.224895
1.32,-0.43391
1.321,-0.630062
1.322,-0.630062
1.323,-0.915333
1.324,-1.09266
1.325,-1.09266
1.326,-1.23828
1.327,-1.37825
1.328,-1.50158
1.329,-1.61708
1.33,-1.61708
1.331,-1.73069
1.332,-1.83551
1.333,-1.93155
1.334,-1.99871
1.335,-2.04483
1.336,-2.06994
1.337,-2.06994
1.338,-2.07717
1.339,-2.06869
1.34,-2.05017
1.341,-2.01942
1.342,-2.01942
1.343,-1.97862
1.344,-1.91961
1.345,-1.85277
1.346,-1.76929
1.347,-1.66164
1.348,-1.66164
1.349,-1.54678
1.35,-1.42125
1.351,-1.2706
1.352,-1.11839
1.353,-0.954563
1.354,-0.954563
1.355,-0.775997
1.356,-0.577961
1.357,-0.38213
1.358,-0.162441
1.359,0.0484505
1.36,0.0484505
1.361,0.267513
1.362,0.465862
1.363,0.652592
1.364,0.826138
1.365,0.977413
1.366,0.977413
1.367,1.12021
1.368,1.24134
1.369,1.34491
1.37,1.44095
1.371,1.44095
1.372,1.5329
1.373,1.62486
1.374,1.69735
1.375,1.75384
1.376,1.79025
1.377,1.79025
1.378,1.80782
1.379,1.805
1.38,1.78743
1.381,1.75479
1.382,1.75479
1.383,1.70646
1.384,1.65028
1.385,1.57684
1.386,1.50402
1.387,1.40737
1.388,1.30317
1.389,1.30317
1.39,1.1858
1.391,1.04144
1.392,0.897701
1.393,0.897701
1.394,0.646
1.395,0.465862
1.396,0.270657
1.397,0.270657
1.398,0.0493965
1.399,-0.159931
1.4,-0.361729
1.401,-0.558819
1.402,-0.76469
1.403,-0.94421
1.404,-0.94421
1.405,-1.10866
1.406,-1.24707
1.407,-1.38327
1.408,-1.50096
1.409,-1.50096
1.41,-1.61614
1.411,-1.7762
1.412,-1.7762
1.413,-1.87003
1.414,-1.94378
1.415,-2.00152
1.416,-2.03228
1.417,-2.03228
